cpd1,O=C(N/C(N1CC2=CC(F)=C(F)C(F)=C2)=N\C3=CC=C(OC(F)F)C=C3C)N(CC(NC)=O)C1=O,-8.346000
cpd2,O=C(N/C(N1CC2=CC(F)=C(F)C(F)=C2)=N\C3=CC4=CN(C)N=C4C=C3Cl)N(CC(NC)=O)C1=O,-8.875000
cpd3,O=C(N/C(N1CC2=C(F)C=C(F)C(F)=C2)=N\C3=CC4=CN(C)N=C4C=C3Cl)N(CC5=NN(C)C=N5)C1=O,-9.204000
cpd13,O=C(NC)CN1C(N/C(N(CC2=CC(F)=C(F)C(F)=C2)C1=O)=N\C3=CC=C(OC)C=C3C)=O,-8.331000
cpd14,O=C(NC)CN1C(N/C(N(CC2=CC(F)=C(F)C(F)=C2)C1=O)=N\C3=CC=C(OC)C=C3)=O,-8.306000
cpd15,O=C(N/C(N1CC2=CC(F)=C(F)C(F)=C2)=N\C3=C(C)C=C4C(SC(C)=N4)=C3)N(CC(NC)=O)C1=O,-9.121000
cpd16,O=C(N/C(N1CC2=CC=CC=C2)=N\C3=C(C)C=C4C(SC(C)=N4)=C3)N(CC(NC)=O)C1=O,-8.157000
cpd17,O=C(N/C(N1CC2=C(F)C=CC=C2)=N\C3=C(C)C=C4C(SC(C)=N4)=C3)N(CC(NC)=O)C1=O,-8.552000
cpd18,O=C(N/C(N1CC2=CC(F)=CC=C2)=N\C3=C(C)C=C4C(SC(C)=N4)=C3)N(CC(NC)=O)C1=O,-8.516000
cpd19,O=C(N/C(N1CC2=CC=C(F)C=C2)=N\C3=C(C)C=C4C(SC(C)=N4)=C3)N(CC(NC)=O)C1=O,-8.592000
cpd20,O=C(N/C(N1CC2=CC(F)=C(F)C(F)=C2)=N\C3=CC=C(OC)C=C3)N(CC4=NNC=N4)C1=O,-8.761000
cpd21,O=C(N/C(N1CC2=CC(F)=C(F)C(F)=C2)=N\C3=CC=C(OC)C=C3)N(CC4=NN(C)C=N4)C1=O,-8.675000
